arder	sentir/experimentar/carburar/carburar/carburar/queimar/queimar/queimar
arear	alisar
arejar	secar/enxugar
arfar	emitir/soltar
arguir	exortar/impelir/urgir/dialogar/conversar/apresentar/apresentar/representar/representar
argumentar	apresentar/representar
argüir	dialogar/conversar
armar	apetrechar/aparelhar/equipar/prover/abastecer/fornecer/suprir/suprir
armazenar	prover/abastecer/fornecer/suprir/reter/reter/guardar/guardar/segurar/segurar/manter/manter
arquear	vergar/curvar/dobrar/torcer
arquitetar	destinar/imaginar/criar/criar/fazer/fazer
arquivar	registar/registrar
arrancar	arredar/puxar/tirar/deslocar/mover/retirar/remover/tirar
arranhar	lesionar/rascar/coçar/lesar/ferir/raspar/machucar/roçar/raspar/encostar/tocar
arranjar	hierarquizar/ranquiar/botar/classificar/pôr/colocar/carregar/pioneirar/provisionar/provisionar/empreender/prover/prover/abastecer/abastecer/fornecer/fornecer/acordar/concordar/iniciar/servir/servir
arrastar	arredar/arredar/puxar/puxar/tirar/tirar/involver/deslocar/mover
arrear	anexar/juntar/unir
arrebanhar	deslocar/mover
arrebentar	desintegrar/desmoronar/desmoronar/desmoronar/dividir/dividir/dividir/separar/separar/separar/separar
arrecadar	cobrar
arredar	deslocar/mover
arredondar	modificar/alterar/modelar/formar/mudar/engordar
arrefecer	tornar/virar/mudar
arregimentar	governar/reger/planejar/delegar
arrematar	encerrar/finalizar/acabar/terminar
arremessar	deslocar/mover/mexer/atirar/jogar/lançar
arremeter	atirar/correr/jogar/lançar
arrendar	entregar/dar
arrendondar	modificar/alterar/mudar
arrepender	sentir/experimentar
arrepender-se	sentir/experimentar
arriar	deslocar/mover
arriscar	impactar/afetar/tentar/tentar/procurar/procurar/existir/ser
arrogar	reivindicar/reclamar
arrombar	abrir/golpear/acertar/desmoronar/dividir/separar/bater
arrostar	resistir
arruinar	estraçalhar/estraçalhar/destroçar/destroçar/destruir/destruir
arrulhar	emitir/soltar
arrumar	acertar/dispor/dispor/arranjar/arranjar/ajustar/corrigir/cuidar-se/cuidar-se/provisionar/prover/abastecer/fornecer/causar/ordenar/organizar/organizar/criar/provocar/servir/fazer
arrumar-se	alterar/mudar
arterializar	modificar/alterar/mudar
articular	prover/abastecer/fornecer/suprir/contar/falar/dizer/exprimir/expressar/mostrar
ascender	viajar/viajar/caminhar/caminhar/ir/ir/andar/andar/subir
asfaltar	revestir/cobrir
asfixiar	perecer/falecer/comprimir/expirar/contrair/matar/morrer/doer/sofrer
aspergir	molhar
aspirar	planear/planejar
assaltar	brigar/disputar/lutar
assar	confeccionar/cozinhar/cozinhar/fabricar/construir
assassinar	matar/matar/matar
assear	modificar/alterar/mudar
assegurar	persuadir/proteger/defender
assemelhar	assemelhar-se/corresponder/combinar/concordar/parecer
assemelhar-se	corresponder/combinar/concordar
assentar	botar/prover/abastecer/fornecer/suprir/pôr/colocar/carregar/abalroar/aprumar/submergir/tornar/afundar/virar/mudar
assentar-se	aprumar
assentir	comunicar/transmitir
assessar	cobrar
assessorar	discutir
asseverar	teimar/insistir/comportar-se/resistir/conduzir
assimilar	modificar/alterar/mudar/alterar/mudar
assinalar	apontar/indicar/mostrar/denotar/evidenciar/informar/informar/sugerir/sinalizar/indicar
assinar	redigir/comprar/escrever/obter/adquirir/atingir
assistir	acorrer/ouvir/socorrer/escutar/auxiliar/ajudar/apoiar/suportar/ajudar
assobiar	emitir/soltar/comunicar/ressoar/soar/transmitir/fazer
associar	raciocinar/cogitar/refletir/pensar/balizar/interagir/agir/atuar/avaliar/julgar/fazer
associar-se	prover/abastecer/fornecer/suprir/ingressar/juntar-se/unificar/unificar/reunir/reunir
assolar	estraçalhar/destroçar/arruinar/destruir
assomar	parecer
assombrar	comover/afetar/impressionar/parecer
assoviar	comunicar/ressoar/soar/transmitir/fazer
assumir	antecipar/deslocar/mover/mexer/alterar/mudar
assustar	atemorizar/amedrontar/aterrorizar/intimidar/comover/emocionar/estimular/excitar
atacar	papar/impactar/brigar/disputar/afetar/comer/lutar/afectar/assaltar/comover/principiar/agir/afetar/afetar/impressionar/atuar/iniciar/parecer/começar/fazer
atalhar	encurtar/encurtar/encolher/encolher/causar/criar/provocar/fazer
atapetar	tampar/tampar/cobrir/cobrir/cobrir
atar	fixar/fixar/modelar/formar/prender/prender/conectar/conectar/deter/anexar/confinar/amarrar/amarrar/reter/juntar/prender/unir/ligar/ligar/manter
atarrachar	estreitar/apertar
atarraxar	rodar/girar
ataviar	cuidar-se
atear	modificar/alterar/mudar
atemorizar	afugentar/desvanecer/rechaçar/comover/afastar/emocionar/estimular/excitar/tocar
atender	ouvir/escutar
atenuar	aperfeiçoar/melhorar
aterrar	vir/vir/chegar/chegar
aterrissar	vir/vir/chegar/chegar
aterrizar	vir/chegar
aterrorizar	coagir/atemorizar/compelir/amedrontar/assustar/obrigar/intimidar/forçar/comover/emocionar/estimular/excitar
atestar	aconselhar/sugerir/propor/informar
atingir	traspassar/efectuar/efectuar/efectuar/impactar/solucionar/encerrar/encerrar/efetuar/efetuar/efetuar/afetar/comprar/comprar/comprar/comprar/perfurar/alcançar/alcançar/alcançar/finalizar/finalizar/resolver/penetrar/obter/obter/obter/obter/obter/obter/obter/obter/realizar/realizar/realizar/adquirir/adquirir/adquirir/adquirir/acabar/acabar/receber/receber/receber/receber/terminar/terminar/ocasionar/conseguir/conseguir/conseguir/efetuar/suceder/suceder/suceder/produzir/vir/chegar/provocar
atirar	lesionar/botar/lesar/ferir/machucar/pôr/jogar/jogar/jogar/jogar/jogar/jogar/colocar/carregar/lançar/lançar/lançar/lançar/lançar/lançar/proferir/propulsar/propulsionar/exprimir/verbalizar/impulsionar/expressar/tocar
atirar-se	surgir
ativar	modificar/alterar/mudar
atochar	botar/pôr/colocar/carregar
atomizar	fragmentar
atormentar	lesionar/assediar/lesar/aborrecer/ferir/molestar/importunar/machucar/irritar/provocar/incomodar/angustiar/angustiar/doer/doer/machucar/machucar
atracar	acercar/avizinhar/fixar/fixar/vir/prender/prender/chegar/vir/chegar
atrair	arredar/modificar/alterar/puxar/mudar/tirar/convidar/pedir
atraiçoar	iludir/lograr/enganar
atrapalhar	impedir/evitar
atrasar	modificar/adiar/alterar/mudar
atravessar	deslocar/mover/mexer/viajar/caminhar/caminhar/ir/ir/andar/andar/passar/passar/passar/passar/perfurar/furar/viajar/viajar/estender/continuar/ir/ir/andar/andar
atrelar	governar/reger/anexar/juntar/unir
